token_type,token_address,receiver,amount,id
erc20,0x4200000000000000000000000000000000000042,0xC529f8B3Ba2B9ffC16c00f108780E91E752D8567,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x802dbD9Af9055C0c8C92C610106618289D31eff9,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd70A9dcD0753dD7aD9Cc49d434B91659A6165512,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4CB11cc4Ce988B40a6C20E798904199519a665fa,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9C529Af39499Eec506aC31fDfA13bb299C2C2A55,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x827B4277CeD13f7eCD6d37CC214C26bc6Ba1D76B,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd5BAF6781D46f7c360e45c6F3831349dE9Af6BeE,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x61AdAa3e0E765C3907359D04F2a076cbCA18b179,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xb2eec968B68B9BDd10Bc8E0BC0aABfcC1Ef90ecB,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xce49856f5D8c8091F0831e60045F91F0db020EFC,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x5f28bf542f84F06d8b836993B3d27f65781Fd1A2,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xabC568a0F7E346ac95FE9D7ED0864DA46FcA7d1A,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x5766B1aFaB4981959d56bEd3Ba11BE2b422E6F54,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x96ce0AECdD145136Bc94b3484c57ee4572064A4f,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x2d0f57cFdc8A3c5759aE6579b10e2D31f2738f0D,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xAa0915C81f02a963A52F55F5D426FEB58F8278FC,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xFa93c9A95727268b88Ff77b5396ED3B8b59a1BA1,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x95d1750822e8D87423961E9d0A9C91e303Fa3b19,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xc330Feb66993346B932d397e085B6FC4234f97d9,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x396E17973a47e7C663CcC6cd6f1E5B0523100CE3,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xdcBce4bbBf3b6299f687b209c4B031DcC7D78A7e,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x0CAf6FEf595e25bD18083D07f4c1D143Ee33E298,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x98eB9e06a3A919348F9d8a20e94997E82Fd9ecef,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x54316Fec7AA48213439F0d9085175F930b7C815e,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xf9d5755695f927f60a82c12A2109a9D3de33294F,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x2bC12061C8912505978472C21d4a23dB43AF62aA,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xe19c73656bd9cc7efCDbADf8d9A82db6bB38c5bb,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xE2e14BAe59D7fE80eC0453213cC425f2CA0f616A,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x434ea8E0304e03f40fFda3eFe6B06fa11846a4A4,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x426cf0A8423A9522A78cd3325984AE000D425EeB,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9B41530560681FaF2297DE704b1dF682759b0eB8,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x184d473862543B07bEF4D217fd3D5C0D8893E71f,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x877bfd84480d236Ff4209050eEE02CFbcc0BCC27,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xfF6139236404725d723E47Ee0068A8572a2f2f71,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x895eA5c14E3F46D5718aA9f74b76f7e127E1B3C6,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x61080Ab085C130C7cc3262B82A0B11CBd0135702,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x2984Bb4953cfCE2cEc957388BE686D6c38779234,26.4550,
