token_type,token_address,receiver,amount
erc20,0x4200000000000000000000000000000000000042,0x0e4cB1Ca39313a34b92CE39ba78748F7edD71E15,35.088
erc20,0x4200000000000000000000000000000000000042,0x3109a608e393f8c5A536C5c1FBfAABDb982cBBD6,35.088
erc20,0x4200000000000000000000000000000000000042,0x7C5093104E817C361808604e47C1605492A7436E,35.088
erc20,0x4200000000000000000000000000000000000042,0x47641bff717EB68F189F2e0852218634781a4A9c,35.088
erc20,0x4200000000000000000000000000000000000042,0xbbE6b6050Dc3457AF4fc0C422f1cD42993D2A767,35.088
erc20,0x4200000000000000000000000000000000000042,0x56Eac0bAF81DCaB4b302C8008Ec95b466F0664AF,35.088
erc20,0x4200000000000000000000000000000000000042,0xF7Fff4bbd506f4994738C5C8C86A409FcA929e5b,35.088
erc20,0x4200000000000000000000000000000000000042,0xabcAeC399A891Ed703d3B6889D0F385B5DF135DC,35.088
erc20,0x4200000000000000000000000000000000000042,0xCBF9FD96c81823BF23E3e2F51CaBa189f29104f3,35.088
erc20,0x4200000000000000000000000000000000000042,0xc8Cf6B03C2Aa80de2579dF02aA3beD1e716E1680,35.088
erc20,0x4200000000000000000000000000000000000042,0xCe797b56F9637aaf4058C38093949AAfbf48Ef57,35.088
erc20,0x4200000000000000000000000000000000000042,0xD9D836EBC67Abeec65b29E586F89816Dab991F69,35.088
erc20,0x4200000000000000000000000000000000000042,0x78b8A76BEa31733777556033e2a116df66C4C41C,35.088
erc20,0x4200000000000000000000000000000000000042,0x86D7933192B1fAccb62dB1e893dfe25D1e2104A7,35.088
erc20,0x4200000000000000000000000000000000000042,0xEd80D5A03e833D05BF190e116f22E5e447b8E39a,35.088
erc20,0x4200000000000000000000000000000000000042,0x3fC124728D1eE5FC2B95Fd60D8bd8C39788110d0,35.088
erc20,0x4200000000000000000000000000000000000042,0xCD1FF54458fcf47a90D57b546dD6E09a2A8cf561,35.088
erc20,0x4200000000000000000000000000000000000042,0xf4db9BD798156B4071f28910aEcC35dD9dE39E3C,35.088
erc20,0x4200000000000000000000000000000000000042,0x8a4a50B13Fd2cb36FeB96c408CB98B4c9F2b8F25,35.088
erc20,0x4200000000000000000000000000000000000042,0x75060d4a14735b4a416a26e3d5e64201590dA701,35.088
erc20,0x4200000000000000000000000000000000000042,0x1E593f9FAbd9A166fC6Dd0Ad8255A266fDfb490e,35.088
erc20,0x4200000000000000000000000000000000000042,0x9Afc59A4be9002129b778a00E00D78d6c1d67939,35.088
erc20,0x4200000000000000000000000000000000000042,0x5b05DF99fC93d76d31603427798c58fe15b62431,35.088
erc20,0x4200000000000000000000000000000000000042,0xD1A0B66835D830e9ada42eEf436f3AA8005b20B5,35.088
erc20,0x4200000000000000000000000000000000000042,0xDa9BfAA363DfCFa220516c6D0dE653389e8De01C,35.088
erc20,0x4200000000000000000000000000000000000042,0xF559306324BB49b5eF42103A7693700BDC58eE7A,35.088
erc20,0x4200000000000000000000000000000000000042,0xDd16f14AA9226E7ECC456f8b52427F92EB7B84ee,35.088
erc20,0x4200000000000000000000000000000000000042,0xB6c3e778FbfC698f5B3fc941fA4727525141E0Ca,35.088
erc20,0x4200000000000000000000000000000000000042,0x23d638FC1b6792CecCb33D15Dc933bF7A920D53f,35.088
erc20,0x4200000000000000000000000000000000000042,0x48b0320c7E9Fc671841a713156dA73df75765c66,35.088
erc20,0x4200000000000000000000000000000000000042,0x3D460F28D48061B3bf1353B96c4Ba56011aD1FDc,35.088
erc20,0x4200000000000000000000000000000000000042,0x8ce4fe19ac5ea0df14200FADd5450c3cF40CF0D0,35.088
erc20,0x4200000000000000000000000000000000000042,0x597BEa912e8734E17DDc4f43A489a1472d9459cF,35.088
erc20,0x4200000000000000000000000000000000000042,0x7239C9c7Ca2ed6F684182FcA881618fE4b557f9E,35.088
erc20,0x4200000000000000000000000000000000000042,0x8deE4B54deC826b85bad2b09d9447ed0959DDdB4,35.088
erc20,0x4200000000000000000000000000000000000042,0xAfD9C0553365A7eAcfF1C60D538807Cf1f84C8DE,35.088
erc20,0x4200000000000000000000000000000000000042,0x687aff5dfF1764f32A242D7d75215386372E0289,35.088
erc20,0x4200000000000000000000000000000000000042,0x683306052fcBD474Fdc754d13e00866276d3E3e1,35.088
erc20,0x4200000000000000000000000000000000000042,0x311d85DA0c2F2b685aae66a7Ff54bF8Ee9C8277A,35.088
erc20,0x4200000000000000000000000000000000000042,0x8143107F25d8f9ea5A3643CDd0Bf7aC68d8c3277,35.088
erc20,0x4200000000000000000000000000000000000042,0x7DA04356B9536F4a949Bfc17114e242e84AFCdF4,35.088
erc20,0x4200000000000000000000000000000000000042,0xb001373b6F8d09Af6560fB689Aa5f3463F9709e1,35.088
erc20,0x4200000000000000000000000000000000000042,0xf211D1166b9a07109174372fA2471e211Ce7286f,35.088
erc20,0x4200000000000000000000000000000000000042,0x76E4f864bbEb60Bee66Ff5BbcD32dEcAF7FBDE71,35.088
erc20,0x4200000000000000000000000000000000000042,0x4815Ee939fE2efeC2f7bc415f0cE2282f6417fe9,35.088
erc20,0x4200000000000000000000000000000000000042,0xfF6139236404725d723E47Ee0068A8572a2f2f71,35.088
erc20,0x4200000000000000000000000000000000000042,0x6E2c266a5fd854373ede37CDcb1bF3Eb06900B07,35.088
erc20,0x4200000000000000000000000000000000000042,0xbF49B454818783D12Bf4f3375ff17C59015e66Cb,35.088
erc20,0x4200000000000000000000000000000000000042,0xCfc3Fd75883138D0Ef8952617230E2C703cF1fd0,35.088
erc20,0x4200000000000000000000000000000000000042,0xADa1c199aa6f0D4340a2d8225ECd0804aAAF4690,35.088
erc20,0x4200000000000000000000000000000000000042,0x3491aeF77C91edD435347CC61a926a31157a497d,35.088
erc20,0x4200000000000000000000000000000000000042,0xb8530006b544561E8Ae916bD34b06E6D7Ad0c001,35.088
erc20,0x4200000000000000000000000000000000000042,0xC5aFc3a0F462C5a387393421b6A253204a3Be8D2,35.088
erc20,0x4200000000000000000000000000000000000042,0x2d9daC5fc34696D6cB829EA718DF63BA826977af,35.088
erc20,0x4200000000000000000000000000000000000042,0xb7aa9F0fFb25c4d8B3D7A66f1D7D3E59b7E09658,35.088
erc20,0x4200000000000000000000000000000000000042,0x613D330E15e6c54c64B02F23D11a07D38ad911FE,35.088
erc20,0x4200000000000000000000000000000000000042,0x344b1E4Ac175f16D3bA40A688cA928E3768E275a,35.088
erc20,0x4200000000000000000000000000000000000042,0x4F49C34759B7e888cE77de9dd34FEC63d63495CC,35.088
erc20,0x4200000000000000000000000000000000000042,0x8008C76d9d9484b6Af5d53B7426b1c84A63dbfE4,35.088
erc20,0x4200000000000000000000000000000000000042,0xA788E0586409FA4eaF986E24604003adaa3dcC9d,35.088
erc20,0x4200000000000000000000000000000000000042,0x43e65F8116174d1c38Eed3545d21fC37ea34B565,35.088
erc20,0x4200000000000000000000000000000000000042,0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,35.088
erc20,0x4200000000000000000000000000000000000042,0x0E80A01f8E69D535975Fa34e64498651BC74247f,35.088
erc20,0x4200000000000000000000000000000000000042,0x94109b35Fee4c92489Beb6d14a973873FA39f3ec,35.088
erc20,0x4200000000000000000000000000000000000042,0xEa82A6482Bb7Ea76114255E74d78fB9B345f25Da,35.088
erc20,0x4200000000000000000000000000000000000042,0x9d2897D8a487770e906F9f1360Bb884680557dB0,35.088
erc20,0x4200000000000000000000000000000000000042,0xD03aC7736dc5115E983ADfe49a10547731914cC6,35.088
erc20,0x4200000000000000000000000000000000000042,0x9c9463F9cf0F2c7Ad231C00B4971e68c29c298Cb,35.088
erc20,0x4200000000000000000000000000000000000042,0x9B41530560681FaF2297DE704b1dF682759b0eB8,35.088
