token_type,token_address,receiver,amount,id
erc20,0x4200000000000000000000000000000000000042,0xB533c548d50eD51e77D2511dD90E581f0c1782bf,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x6Bb275953D6297261386A8eAC44db37e8f278eBF,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x06e5741722b8eFe11BAa4E9D4a4624C16A3Fd481,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xDd16f14AA9226E7ECC456f8b52427F92EB7B84ee,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x371D352fCb33D1C5804D43Cc70482C4C8F13151e,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x48f7D45FA696Dc89fF4f2233B25490455AE19DC2,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xdAe182124a05B4253FB8f2Ca670C9Ad0CD2a652C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xa18230830e1D9dA5DC24Be38D2A684e80959ba0e,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xbbe3aba57ac2a5dc36eBb9769fCbD53FD5153F93,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x0158dDAc3390fC121511f11dfb252564fc323E0D,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x8008C76d9d9484b6Af5d53B7426b1c84A63dbfE4,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x8e113356635Ec95B0BeAB301b40F75a2b57F2ca5,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4eAB08770d2570C10669c746A422D078d77E778d,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x21cB8e0F54D2845c96b440445F210113B1b2C79a,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xbF1062151C314D84D1edE9895B9b34D5880A7c9A,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xe8D634E16BB68f3f9015CBe7e0572654232d51d7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x88B8dD3E10788B48314567F512CD3180716F8D5D,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9d2897D8a487770e906F9f1360Bb884680557dB0,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd6c47f7cf6b8C99305dbb7EBEcA314dA5eb4E9b7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x23146A7907987aB0bDCebb3A3824072bE077EA48,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xeDC5EAC669E11a83D566A94359cC5a66dC935Ae7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xF5f61157f3c13e4bbC5C42E75Ae80946b72de83F,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x75060d4a14735b4a416a26e3d5e64201590dA701,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xD1A0B66835D830e9ada42eEf436f3AA8005b20B5,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x77D0a11b68023a705DCa6Bf9F391D3601227700D,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xcB797518917D54718fC93C349cA4B7aD1E6ee50B,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x0E9B063789909565CEdA1Fba162474405A151E66,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4F321aD6dDC21EBcf9eE7213D2B41895196b6a9B,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x6Ee2134DC15D8126190Bbae8413F0dA37517a4da,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xf4db9BD798156B4071f28910aEcC35dD9dE39E3C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xdC91EcD9cFC5511E18Ae16E75274d99E79Ce57Ed,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x3D51847413663696741ccC5081c1E9744B01c3E7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xb10bE5cBBF9655eD3648184Ade56d3B4d6cEdD4F,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x3a11dd5ed38908FeC270f025C605c07420ACD734,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x88Df4D4240d4F388A88d9edC1DbC7D0154B996Cf,26.4550,
